Brand,"Part numbers","Numbers on caliper",Type,Pistons,"Piston diameter(s)",Weight,Weight with pads,Description
Porsche,"L: 944 351 429 00, R: 944 351 430 00",,floating,1,54,,,944/944S
Porsche,"L: 986 351 421 03, R: 986 351 422 03","L: 986.351.421, R: 986.351.422",fixed,4,40/36,2.59,3.31,986 Boxster
Porsche,"L: 996 351 425 11, R: 996 351 426 11","",fixed,4,40/36,,,986 Boxster S
