Brand,"Part numbers","Numbers on caliper",Type,Pistons,"Piston diameter(s)",Weight,Weight with pads,Description
Porsche,"L: 944 352 429 00, R: 944 352 430 00",,floating,1,36,,,944/944S
Porsche,"L: 951 352 421 00, R: 951 352 422 00",,fixed,4,28/30,,,944 Turbo < 95KN1 00218 (aluminium trailing arms)
Porsche,"L: 951 352 421 02, R: 951 352 421 02",,fixed,4,28/30,,,944 S2/Turbo > 95KN1 00218 (aluminium trailing arms)
Porsche,"L: 986 352 423 01, R: 996 352 422 13","L: 996.352.421, R: 996.352.422",fixed,4,30/28,2.30,2.96,986 Boxster
Porsche,"L: 996 352 421 13, R: 986 352 424 01",,fixed,4,30/28,,,986 Boxster S
